ID,Title,Author,Units,Illustrator,Genre,Publisher,Publication Year,Price,Description,Condition,Condition Description,Format,Features,Language,Topic,Book Series,Type,Narrative Type,Edition,Manufactured,Inscribed,Intended Audience,Vintage,Signed,Pictures,Height,Width,Length,Weight,Weight Minor
24,The New Bible Commentary Revised,"D. Guthrie, J.A Motyer, A.M. Stibbs, D.G. Wiseman",1,,"Religion, Christianity, Spirituality, History, Commentary",Guide Posts,1984,12,"Dust jacket included! Signs of aging and slight wear. If you want to learn about the Bible, you can't go wrong with this classic commentary. Expansive and insightful. See pictures for more details.",Good,,Hardback,Dust Jacket,English,,,,,,,,,,,10,3,7,10,0,12
25,Goosebumps - Night of the Living Dummy,R.L. Stine,1,,"Children, Young Adult, Thriller, Humor, Suspense, Scary",Scholastic,1993,7,Signs of wear on front cover and back cover. No pages missing. See pictures for more details.,Acceptable,,Paperback,,English,,,,,,,,,,,13,2,7,10,0,14
26,A Boy at War,Harry Mazer,1,,"Children, Young Adult, Thriller, War, Military, History, Suspense",Scholastic,2001,5,Used and worn. Great story about the perils of war and the loss of innocence. See pictures for more details.,Acceptable,,Paperback,,English,,,,,,,,,,,14,2,7,10,0,12
27,Nancy Drew - Ghost Stories,Carolyn Keene,1,,"Children, Young Adult, Thriller, Suspense, Horror",Aladdin Paperbacks,1983,7,"Used, but in good condition with no major signs of wear. 6 spooky stories to freak out your young children! See pictures for more details.",Good,,Paperback,,English,,,,,,,,,,,11,2,7,10,0,13
28,The Maze Runner,James Dashner,1,,"Young Adult, Suspense, Adventure, Thriller, Sci Fi",Delacorte Press,2009,5,"Used, but in good condition. Excellent story for young adults or kids who love to read. See pictures for more details.",Good,,Paperback,,English,,,,,,,,,,,6,2,7,10,1,2
29,Wayside School Gets A Little Stranger,Louis Sachar,1,,"Children, Fantasy, Educational, Humor",Avon Camelot,1996,7,"Used but in good condition. Some signs of wear. I loved reading these bizarre books when I was a kid. The outlandish scenarios and wackiness always left me in such a good mood, albeit a bit confused. Now you can do the same to your kids! See pictures for more details.",Acceptable,,Paperback,,English,,,,,,,,,,,11,2,7,10,0,13
30,Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies,Dav Pilkey,1,,"Children, Fantasy, Educational, Humor, Sci Fi",Scholastic,1999,7,"Great condition with very minimal signs of wear. What can I say about Captain Underpants? You just have to read these books to appreciate them. I think as a kid, the silliness and wackiness really resonated with me. The artwork wasn't the best and yet it immersed you in the world of two kids getting into shenanigans with their mean-principal-turned-Super Hero, Captain Underpants. Laughs, comic styling and the good ol' Fliporama pages. Please, you gotta show your kids this, they'll love it! Check out the pictures for more details.",Good,,Paperback,,English,,,,,,,,,,,10,2,7,10,0,14
31,Junie B. Jones - First Grader (At Last!),Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Scholastic,2002,3,"Used and worn, but in good condition. No pages missing. See pictures for more details.",Good,,Paperback,,English,,,,,,,,,,,7,2,7,10,0,12
32,Nancy Drew and the Clue Crew - Case of the Sneaky Snowman,Carolyn Keene,1,Macky Pamintuan,"Children, Young Adult, Thriller, Suspense, Mystery",Scholastic,2007,5,"Great condition, with minimal signs of wear. Find out who stole Sherlock, Nancy's snowman! See pictures for more details.",Good,,Paperback,,English,,,,,,,,,,,9,2,7,10,0,12
33,Captain Underpants and the Attack of the Talking Toilets,Dav Pilkey,1,,"Children, Fantasy, Educational, Humor, Sci Fi",Scholastic,1999,5,"Slight signs of wear and aging. Your kids will love this book. Lighthearted, silly humor that's perfect for kids who love outlandish characters. Plus, the Fliporama pages! You gotta see it to believe it! Check out the pictures for more details.",Good,,Paperback,,English,,,,,,,,,,,10,2,7,10,0,14
34,Junie B. Jones - Aloha-ha-ha!,Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Scholastic,2007,3,Used and worn. See pictures for more details.,Acceptable,,Paperback,,English,,,,,,,,,,,12,2,7,10,0,13
35,True Stories of Heavenly Encounters - Where Miracles Happen,Joan Wester Anderson,1,,"Religion, Christianity, Spirituality, History, Commentary",Guide Posts,1994,5,"Dust jacket has signs of wear and a small tear, but has kept the book in good condition. Uplifting stories about miracles and people with a strong faith in God. See pictures for more details.",Good,,Hardback,Dust Jacket,English,,,,,,,,,,,19,2,7,10,1,6
36,MIracles and Other Wonders,Charles Sellier,1,,"Religion, Christianity, Spirituality, History, Commentary",Guide Posts,1994,5,"Dust jacket has signs of wear and a small tear, but has kept the book in good condition. Uplifting stories about miracles and people with a strong faith in God. See pictures for more details.",Good,,Hardback,Dust Jacket,English,,,,,,,,,,,15,2,7,10,1,6
37,Organic Living,Michael Van Straten,1,David Loftus,"Health, Lifestyle, Nature, Food, Educational",Frances Lincoln Unlimited,2001,10,"Dust jacket has signs of wear, but book is in good condition. Great book for learning more about an organic lifestyle and healthy living. Give this to someone you love or buy it and leave it on your coffee table, never to be picked up, except by curious guests, waiting for you to finish getting ready to go out. See pictures for more details!",Good,,Hardback,Dust Jacket,English,,,,,,,,,,,17,2,10,12,2,8
38,Southern Living - The Quick and Easy Cookbook Menus Recipes,Lee Cannon,1,,"Food, Recipes, Cooking, Baking, Tutorial, Educational",Oxmoor House,1979,10,"Used with signs of wear. No missing pages. Do you like Southern food? Comfort food? Eating delicious home cooked meals? Yeah, you do. This is the book for you. Classic recipes, that will leave you watering at the mouth, from just staring at the photographs. Impress your friends and family with your newfound cooking abilities and never tell them the truth: You learned it all from this book. See the pictures for more details.",Good,,Hardback,Dust Jacket,English,,,,,,,,,,,18,2,11,8,2,8
39,How to Avoid Probate with a Revocable Living Trust,Jay M. Barry,1,,"Educational, Finance, Self Help, Money",Homestead Publishing Company,1987,8,"Used and slightly worn. Honestly, the title says it all. If you're looking at this listing, you probably need this book, so just buy it already. See pictures for more details.",Good,,Paperback,,English,,,,,,,,,,,8,2,9,12,1,4
40,Enyclopedia of Estate Planning,Robert S. Holzman,1,,"Educational, Finance, Self Help, Money",Boardroom Classics,1988,10,"Used with slight signs of wear. Do you need to plan your estate? Then give this book a shot, what else do you have to lose? See pictures for more details.",Good,,Hardback,,English,,,,,,,,,,,9,2,10,12,3,2
41,The Family Legal Advisor,Alice K. Helm,1,,"Educational, Finance, Self Help, Money, Law, Legal Help",Ottenheimer Publishers,1978,10,"Used with signs of wear and aging. Great for adding to a large shelf of legal books that you will probably never touch again, but look extremely impressive in an office setting or a home den. Also, it's fun to laugh at outdated information, isnt it? See pictures for more details.",Good,,Hardback,,English,,,,,,,,,,,14,2,10,12,3,14
93,Animorphs - The Exposed,K.A. Applegate,1,David B. Mattingly,"Adventure, fantasy, action, children, young adult",Scholastic,1999,5,Used with some wear and a slight tear on lower front cover. A classic epic series about children with the ability to turn into any animal they touch. Unique cutout cover! See pictures!,Good,,Paperback,,English,,,,,,,,,,,12,2,7,10,0,13
94,Goosebumps - Vampire Breath,R.L. Stine,1,,"Children, Young Adult, Thriller, Humor, Suspense, Scary",Scholastic,2011,5,Used with minimal signs of wear. Enthrall your young children with this tale of a vampire who lurks in a basement. 2010 printing. See pictures.,Good,,Paperback,,English,,,,,,,,,,,6,2,7,10,0,13
95,Goosebumps - Welcome to Camp Nightmare,R.L. Stine,1,,"Children, Young Adult, Thriller, Humor, Suspense, Scary",Scholastic,2010,5,Used with some signs of wear. The 2010 printing. ,Good,,Paperback,,English,,,,,,,,,,,9,2,7,10,0,13
96,A Child Called It,Dave Pelzer,1,,"Drama, tragedy, trauma, true story, abuse, self help",Health Communcations Inc,1995,5,"Great condition. A heart breaking and inspirational story about a child with an iron will, raised by a horrible mother. If you want to cry, you want this book. See pictures.",Good,,Paperback,,English,,,,,,,,,,,6,2,7,10,1,0
97,Harry Potter and the Chamber of Secrets,J.K. Rowling,1,Mary GrandPre,"Adventure, fantasy, action, children, young adult",Scholastic,1999,5,"Used and worn. The 2nd book in one of the best book series to come out of the 90's. Mystery, magic and Quidditch, what more do you need? Either you're a millennial adult like I am and need a replacement copy or you want to gift this to a little kid, you can go wrong with this book. See the pictures for more details.",Good,,Paperback,,English,,,,,,,,,,,9,2,7,10,1,0
42,The Silmarillion,J.R.R Tolkien,1,,"Fantasy, Epic, Adventure, Thriller, Fiction, History",George Allen and Unwin,1977,8,"For the uninitiated, this is basically the Lord of the Rings bible. Tells about the creation of Middle Earth and the various entities involved. If you love Lord of the Rings and you want to go deeper into the lore, you need to read this.",Good,"Good condition, no missing pages or major wear.",Hardback,,English,Fantasy,,Novel,Fiction,,,,"Young Adults, Adults",,,13,2,7,10,1,12
43,High Moment,Wallace Brockway,1,,"History, Educational, Self Help, Motivation, Leaders",Simon and Schuster,1955,10,"This book deal with monumental moments in the lives of great figures such as Jullius Caesar, Napoleon, Socrates, Joan of Arc, Michelangelo, Abraham Lincoln and more.",Good,"Cover has signs of aging, but is in good condition.",Hardback,,English,History,,,Non-Fiction,,,,"Young Adults, Adults",,,20,2,7,10,1,7
44,The Velevteen Rabbit or How Toys Become Real,Margery Williams,1,Michael Green,"Children, fantasy, educational, adventure, animals",Running Press,1981,10,"A cute story about a sentient rabbit and his little boy friend. Also, some toys come to life, but in a fun, non-horror way. ",Good ,"Cover has signs of aging, but is in good condition.",Hardback,,English,Fairy Tale,,Kid's Book,Fiction,,,,"Kids, children",,,14,2,7,10,1,3
45,Vanishing Wildlife of North America,National Geographic Society - Thomas B. Allen,1,David R. Bridge,"Educational, animals, history, wildlife, nature",National Geographic Society,1974,10,"Contains pictures and descriptions of the animals and wildlife that is slowly disappearing from this Earth. Read this and learn about the world around you, tell your friends and family about how we need to take care of nature. See pictures for more details.",Good,In great condition,Hardback,,English,Animals,,,Non-Fiction,,,,"Children, teenagers, young adults, adults",,,18,2,7,10,2,0
46,American Mountain People,"Clay Anderson, Charlton Ogburn, Bill Peterson",1,Bryan D. Hodgson,"History, educational, america, people, pictures",National Geographic Society,1973,8,Learn all about life in the mountains and the various cultures that reside there. Vivid pictures and details!,Good,"Good condition, no missing pages or major wear.",Hardback,,English,America,,,Non-Fiction,,,,"Young Adults, Adults",,,12,2,7,10,2,2
47,America's Magnificent Mountains,"Lous de Haba, Ralph Gray, Sallie M. Greenwood",1,Suez B. Kehl,"History, educational, america, nature, pictures, mountains",National Geographic Society,1980,8,"Really, the title says it all. Amazing pictures of the various magnificent mountains located in the U.S.",Good,"Good condition, no missing pages or major wear.",Hardback,,English,Nature,,,Non-Fiction,,,,"Young Adults, Adults",,,17,2,7,10,2,2
48,Illustrated Dictionary of Chinese Acupuncture,"Zhang Rui-fu, Wu Xiu-fen, Nissi S. Wang",1,,"Medicine, holistic, self help, therapy, history, educational",Sheep's Publications,1985,50,A massive tome that contains translations of explanation on Chinese Acupuncture techniques. Contains helpful diagrams and explanations. Perfect for learning about homeopathic asian medicinal methods.,Good,"Good condition, no missing pages or major wear.",Hardback,,English,Acupuncture,,Guide,Non-Fiction,,,,"Young Adults, Adults",,,24,2,7,10,3,2
49,I Am America (And So Can You!),Stephen Colbert,1,,"Politics, humor, america, celebrity,",Spartina Productions,2007,5,"Stephen Colbert's hilarious and satirical book. If you're familiar with Colbert's work then you'll love this book, if you aren't then you will be deeply confused. Remember, it's satire! ",Good,"Good condition, no missing pages or major wear.",Hardback,Dust Jacket,English,America,,,Non-Fiction,,,,"Young Adults, Adults",,,22,2,7,10,3,0
50,I Ching,Rudolf Ritsema and Stephen Karcher,1,,"Spiritual, oriental, asian, history, culture, occult, metaphysical, divination",Barnes and Noble,1995,8,"The I Ching was a sacred text used by asian cultures for many purposes, to divine the future, to seek guidance in personal crisis, to aid in one's growth and journey throughout this lifetime. This is a thick book with many lessons to share.",Good,Missing dust jacket. In good condition.,Hardback,,English,,,Guide,Non-Fiction,,,,"Adults, young adults, old adults",,,12,2,7,10,3,5
51,The Divine Comedy of Dante Alighieri 3 Paradiso,John D. Sinclair,1,,"History, poetry, spiritual, philosophy, ",Oxford University Press,1961,8,"The 3rd volume in John Sinclair's translation and commentary of Dante's Divine Comedy. If you've every played Dante's Inferno, this is what that game is based off of.",Good,"Good condition, no missing pages or major wear.",Paperback,,English,Spiritual,,Novel,Non-Fiction,,,,"Adults, young adults, old adults",,,13,2,7,10,1,6
52,Analytic Dictionary of Chinese and Sino-Japanese ,Bernhard Karlgren,1,,"Educational, language, asian, chinese, japanese",Dover Publications,1974,15,Great reference book for anyone trying to learn Chinese or Japanese. Contains translations and pictrographs.,Good,"Slight signs of wear, but no missing pages or tears.",Paperback,,English,Language,,Translation Book,Non-Fiction,,,,"Young Adults, Adults",,,24,2,7,10,1,12
53,The Berenstain Bears - Learn to Share,Stan and Jan Berenstain,1,,"Children, Fantasy, Educational, Humor",Reader's Digest,1992,12,Cute book from the 90's. Teach your kids about sharing with the help of the Berenstain Bears!,Good,"Good condition, no missing pages or major wear.",Hardback,,English,Kids,,Kid's Book,Fiction,,,,"Kids, children",,,14,2,7,10,1,2
54,Mysteries of the Ancient World,"Christine K. Ekstrom, Ron Fisher, Louis de la Haba",1,Don A. Sparks,"Spiritual, history, culture, occult, mysteries, mythology, unexplained",National Geographic Society,1979,20,"Learn about the many mysteries of the ancient world. The Giant Easter Island Heads, the Pyramids of Egypt, Forgotten Ruins, and so much more!",Good,"Good condition, no missing pages or major wear.",Hardback,Dust Jacket,English,History,,,Non-Fiction,,,,"Young Adults, Adults",,,24,2,7,10,2,3
55,The Ocean Realm,"Robert D. Ballard, Linda Mc Carter Bridge",1,Thomas B. Powell,"Educational, animals, history, wildlife, nature, marine biology, oceans, seallife",National Geographic Society,1978,10,"Great book about the diverse ecosystem beneath the ocean. From shallow pools to the very depths of the sea, this is a great read for learning more about marine life. Vivid pictures and descriptions!",Good,"Dust jacket has some tears, but hardback is in great condition.",Hardback,Dust Jacket,English,Marine Biology,,,Non-Fiction,,,,"Young Adults, Adults",,,20,2,7,10,2,3
56,The Majestic Rocky Mountains,William S. Ellis ,1,David R. Bridge,"History, educational, america, nature, pictures, mountains",National Geographic Society,1976,8,The title says it all. A book about the majestic Rocky Mountains. Vivid pictures and details.,Good,"Good condition, no missing pages or major wear.",Hardback,,English,Nature,,,Non-Fiction,,,,"Young Adults, Adults",,,16,2,7,10,2,2
57,The Tale of Jemima Puddle-Duck,Beatrix Potter,1,Beatrix Potter,"Children, Fantasy, Educational, Humor",The Penguin Group,1989,10,Small book that tells the story of Jemima Puddle-Duck! Cute illustrations and drawings,Good,"Good condition, no missing pages or major wear.",Hardback,,English,Animals,,,Fiction,,,,"Children, kids",,,9,2,7,10,0,10
58,The Book of King Arthur,Howard Pyle,1,Ron King,"Fantasy, Adventure, Epic, Myth, Fairy Tale",Classic Press,1969,30,"The legendary tale of King Arthur and the mythical sword! Awesome drawings of the various parts of the story. See pictures! Book is aged, but still whole.",Good,"Book is vintage and showing signs of aging, please see pictures! No missing pages.",Hardback,,English,Fantasy,,Novel,Fiction,,,,"Children, kids",,,24,2,10,13,1,11
59,Complete Works of William Shakespeare,"William George Clark, William Aldis Wright",1,,"Shakespeare, poetry, history, commentary, fantasy, tragedy, drama",Grosset and Dunlap,1911,100,"This 112 year old book contains all of Shakespeare's works, poems and plays. Hamlet, The Tempest, The Taming of the Shrew, Macbeth, Romeo and Juliet, you name it, it's in here! See the pictures for more details.",Good,"Signs of aging, but no missing pages or major wear. See pictures.",Hardback,,English,Poetry,,Collection,Non-Fiction,,,,"Young adults, Adults",,,24,2,7,10,2,10
60,Respect for Acting,"Uta Hagen, Haskel Frankel",1,,"Educational, theatre, acting, tutorial, cinema",Macmillan Publishing Co.,1979,10,Learn about the timeless craft of acting. Who needs acting classes when you've got this book? Become a master actor today!,Good,"Slight signs of aging, but in good condition.",Hardback,,English,Acting,,Guide,Non-Fiction,,,,"Adults, young adults, children",,,14,2,7,10,1,6
61,John Keats Complete Poems,"John Keats, Jack Stillinger",1,,"Poetry, history, romance, drama",Belknap Press,1982,15,"A collection of John Keats poems, edited by Jack Stillinger. Fill your brain to the brim with the beautiful words of this literary legend",Good,Used but in good condition.,Paperback,,English,Poetry,,,Fiction,,,,"Young Adults, Adults",,,16,2,7,10,1,12
62,Poems That Live Forever,Hazel Felleman,1,,"Poetry, history, romance, drama",Doubleday and Company,1965,30,"A massive collection of poems from various legendary writers such as Shakespeare, Edgar Allen Poe, Walt Whitman, Henry Wadsworth Longfellow, John Keats, William Butler Yeats and so much more! See pictures for more details.",Good,"Signs of aging, but no missing pages or major wear. See pictures.",Hardback,,English,Poetry,,Collection,Non-Fiction,,,,"Young Adults, Adults",,,22,2,7,10,2,11
63,The Very Hungry Caterpillar,Eric Carle,1,,"Children, Fantasy, Educational, Humor",The World Publishing Company,1973,8,"The classic tale about a hungry caterpillar. Various pages are cut in a way that fits the story, for example the various illustrations of the leaves that the caterpillar eats! Book is quite old and is showing signs of wear and some pages beginning to come loose. See pictures. No missing pages, still intact.",Good,"Signs of aging, but no missing pages or major wear. Certain pages are beginning to come loose, but the book is still whole and intact. Vintage printing.",Hardback,,English,Kids,,,Fiction,,,,"Children, kids",,,24,2,10,13,1,7
65,The Very Busy Spider,Eric Carle,1,,"Children, Fantasy, Educational, Humor",Philomel Books,1984,10,"A cute story about a spider building a web. You can actually FEEL various drawings, such as the web the spider is building! Great for people who love to touch things or need some sort of sensory stimulation. ",Good,"Good condition, no missing pages or major wear.",Hardback,Dust Jacket,English,Kids,,,Non-Fiction,,,,"Children, kids",,,17,2,10,13,1,6
66,The Calico Book of Mother Goose,Unknown,1,Charlotte Krebs,"Children, Fantasy, Educational, Humor, Fairy Tales, Folk Tales",Contemporary Books,1988,15,A cute book that contains a large collection of fairy tales and folk tales. Also contains illustrations and sing along songs!,Good,Great condition.,Hardback,,English,Fairy Tale,,,Fiction,,,,"Children, kids",,,24,2,10,13,1,9
67,Cinderella - Treasury of Fairy Tales,Unknown,1,Roberta Collier-Morales,"Children, Fantasy, Educational, Humor, Fairy Tales, Folk Tales",Modern Publishing ,1994,8,"The classic fairy tale, with cute illustrations. Perfect for little kids!",Good,"Good condition, no missing pages or major wear.",Hardback,,English,Fairy Tale,,,Fiction,,,,"Children, kids",,,14,2,10,13,1,2
68,Sesame Street - Big Bird's Busy Book Activity Book,Michael Frith and Sharon Lerner,1,"Mel Crawford, A. Delaney, Michael Firth","Children, Fantasy, Educational, Humor, Crafts",Random House,1975,20,"A fun activity book from the 70's. Make masks, use Cookie Monster's recipes to make cookies, sing along with the Count and make various toys with Oscar the Grouch. See pictures for more details! A few pages have been drawn on and there are 3 pages that have been cut out, but other than that the book is in great condition, given its age! See pictures!",Acceptable,Good condition. Some cut out pages and coloring. See pictures!,Paperback,,English,Activity Book,,Activities,Non-Fiction,,,,"Children, kids",,,19,2,7,10,1,6
69,LA Times - Pure Kobe - White Cover,Los Angeles Times,1,,"Magazine, celebrities, news, pop culture",Los Angeles Times Magazine,2010,20,"LA Times issue from May 02, 2010 with Kobe Bryant dressed in all white on the front cover. Various articles on events from 2010.",Acceptable,"Slight creasing on front cover, but no missing pages or major wear. See pictures.",Magazine,,English,Sports,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,16,2,10,13,0,13
70,Sports Illustrated - Once and Forever - Muhommad Ali 50th Birthday Cover,Sports Illustrated,1,,"Magazine, celebrities, news, pop culture, sports",Sports Illustrated Magazine,1992,50,"Sports Illustrated issue from January 13, 1992 with Muhammad Ali turning 50 years old on the cover. Various articles and pictures of sports teams, figures and events from the 90's.",Good,"Good condition, no missing pages or major wear.",Magazine,,English,Sports,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,0,11
71,Sports Illustrated - Special Team - Super Bowl MVP - Desmond Howard,Sports Illustrated,1,,"Magazine, celebrities, news, pop culture, sports",Sports Illustrated Magazine,1997,50,Sports Illustrated 1997 issue with Super Bowl MVP Desmond Howard. Various articles and pictures on other sports events and teams from the 90's.,Good,"Good condition, no missing pages or major wear.",Magazine,,English,Sports,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,0,11
72,Newsweek - Understanding Teddy - Kennedy Family,Newsweek,1,,"Magazine, politics, government, bio",Newsweek,2009,10,This Newsweek issue focuses on Ted Kennedy from September 7 2009.,Good,"Good condition, no missing pages or major wear.",Magazine,,English,Politics,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,23,2,10,13,0,11
73,Newsweek - The Last Brother - Edware Moore Kennedy,Newsweek,1,,"Magazine, politics, government, bio",Newsweek,2009,10,Newsweek issue from November 2009 that focuses on the life of Edward Moore Kennedy. ,Good,"Good condition, no missing pages or major wear.",Magazine,,English,Politics,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,23,2,10,13,0,12
74,Country Music - Garth Brooks Learns the Ropes,Country Music,1,,"Magazine, celebrities, music, news, pop culture",Country Music,1991,40,January/February 1991 Issue with Garth Brooks on the cover. Various articles and pictures of Country Music legends from the 90s. Also contains a poster of George Strait. See pictures for more details!,Good,"Some wear, but no missing pages. See pictures for more details.",Magazine,,English,Country Music,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,0,12
75,Somos 70 Aniversario - La Catedral de la Radio,Somos,1,,"Magazine, celebrities, music, movies, news, pop culture, Mexico",Somos,2000,30,Esta edicion se centra en los iconos del cine mexicano!,Good,See pictures.,Magazine,,Spanish,Mexico,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,1,0
